@relation mushroom-weka.filters.unsupervised.attribute.NominalToBinary-A-Rlast-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.Resample-S1-Z11.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z75.0-no-replacement

@attribute cap-shape {b,c,f,k,s,x}
@attribute cap-surface {f,g,s,y}
@attribute cap-color {b,c,e,g,n,p,r,u,w,y}
@attribute bruises? {f,t}
@attribute odor {a,c,f,l,m,n,p,s,y}
@attribute gill-attachment {a,d,f,n}
@attribute gill-spacing {c,d,w}
@attribute gill-size {b,n}
@attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@attribute stalk-shape {e,t}
@attribute stalk-root {b,c,e,r,u,z}
@attribute stalk-surface-above-ring {f,k,s,y}
@attribute stalk-surface-below-ring {f,k,s,y}
@attribute stalk-color-above-ring {b,c,e,g,n,o,p,w,y}
@attribute stalk-color-below-ring {b,c,e,g,n,o,p,w,y}
@attribute veil-type {p,u}
@attribute veil-color {n,o,w,y}
@attribute ring-number {n,o,t}
@attribute ring-type {c,e,f,l,n,p,s,z}
@attribute spore-print-color {b,h,k,n,o,r,u,w,y}
@attribute population {a,c,n,s,v,y}
@attribute habitat {d,g,l,m,p,u,w}
@attribute class=p numeric

@data
f,y,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,d,0
x,f,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,g,1
x,f,g,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d,1
f,y,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d,0
x,f,g,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,v,d,1
x,s,p,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,v,d,1
x,y,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,d,1
f,y,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d,0
x,y,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,v,d,0
x,f,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,p,1
x,f,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,g,1
x,f,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,d,1
f,f,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d,0
f,f,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d,0
x,y,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d,0
f,f,e,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,y,d,0
x,f,p,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,n,s,d,1
f,y,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,0
x,f,g,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,n,s,d,1
f,y,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,v,d,0
f,y,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,y,d,0
f,y,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d,0
f,y,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d,0
f,y,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,y,d,0
f,y,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d,0
f,y,e,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d,0
f,y,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d,0
f,y,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,y,d,0
f,f,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,v,d,0
x,f,p,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,k,v,d,1
f,f,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,d,0
x,s,w,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,s,d,1
f,y,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d,0
x,f,g,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,k,s,d,1
f,y,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,d,0
f,f,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,y,d,0
x,f,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p,1
f,f,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,g,1
x,y,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,g,1
x,f,g,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,s,d,1
f,f,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,d,1
f,y,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,p,1
x,f,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,g,1
f,f,g,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d,0
f,f,y,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,d,1
x,y,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p,1
x,s,w,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,k,s,d,1
x,y,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,d,1
x,f,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,p,1
f,f,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,g,1
f,f,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d,0
x,f,g,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,d,1
x,s,w,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,k,v,d,1
f,y,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d,0
x,f,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,d,1
x,f,p,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,v,d,1
f,y,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,d,1
x,y,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,d,1
f,f,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,y,d,0
x,y,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,d,1
f,f,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,g,1
f,f,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,p,1
x,y,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,d,1
x,y,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,g,1
f,f,g,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,v,d,0
f,f,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,d,0
x,f,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,g,1
x,f,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p,1
x,y,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,d,1
f,y,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p,1
f,y,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,g,1
x,y,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,g,1
f,y,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,d,1
x,s,e,t,n,f,c,b,e,e,b,s,s,w,e,p,w,t,e,w,c,w,0
f,y,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,v,d,0
f,y,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,g,1
f,f,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,p,1
f,f,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,p,1
f,f,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,d,1
x,f,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,d,1
x,y,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,d,1
x,f,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,g,1
f,s,w,t,n,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,m,1
x,y,y,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,p,1
x,y,u,f,n,f,c,n,u,e,b,s,f,w,w,p,w,o,f,h,v,d,0
x,y,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,d,1
x,y,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,d,1
x,f,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,d,1
x,f,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,d,1
x,y,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,p,1
x,f,y,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,g,1
f,f,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,d,1
x,y,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,d,1
x,y,n,f,y,f,c,n,b,t,b,s,s,p,w,p,w,o,e,w,v,d,1
f,y,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,d,1
f,f,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d,0
f,f,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,p,1
x,y,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,p,1
f,f,y,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,g,1
x,y,g,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,d,1
f,f,y,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,g,1
x,y,y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p,1
x,y,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,d,1
x,y,n,f,f,f,c,n,b,t,b,k,s,p,p,p,w,o,e,w,v,l,1
x,y,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,d,1
x,f,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,d,1
f,f,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,p,1
x,s,p,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d,1
f,f,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,d,0
f,y,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,p,1
f,f,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,d,1
x,y,n,f,s,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,p,1
x,s,g,t,f,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,s,u,1
x,s,w,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,n,v,d,1
f,y,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,d,1
k,s,e,t,n,f,c,b,w,e,b,s,s,e,w,p,w,t,e,w,c,w,0
x,y,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,p,1
x,f,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,g,1
f,s,b,t,f,f,c,b,w,t,b,f,s,w,w,p,w,o,p,h,s,u,1
f,y,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,g,1
x,y,e,f,y,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,p,1
x,y,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,g,1
f,y,e,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d,0
x,y,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,p,1
x,f,n,f,n,f,w,n,w,e,b,s,f,w,n,p,w,o,e,w,v,l,0
x,y,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,p,1
k,s,b,t,n,f,c,b,w,e,b,s,s,e,w,p,w,t,e,w,c,w,0
x,f,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,p,1
f,f,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,p,1
x,f,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,d,1
x,y,n,f,n,f,c,n,w,e,b,k,y,w,n,p,w,o,e,w,v,d,1
x,y,y,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,p,1
f,y,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p,1
x,y,g,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,p,1
f,y,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,d,1
f,f,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p,1
x,y,n,f,s,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,l,1
x,f,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,p,1
x,y,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,d,1
k,y,p,t,n,f,c,b,e,e,b,s,s,w,w,p,w,t,e,w,c,w,0
f,g,w,t,n,f,w,n,w,e,b,s,s,w,w,p,w,o,p,w,c,l,1
x,s,w,t,f,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,v,g,1
x,y,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,d,1
f,s,g,t,f,f,c,b,w,t,b,s,s,w,w,p,w,o,p,h,s,u,1
f,f,n,f,n,f,w,n,w,e,b,s,f,w,n,p,w,o,e,w,v,l,0
x,y,g,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,g,1
f,s,b,t,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,s,g,1
b,y,w,t,n,f,c,b,r,e,b,s,s,w,w,p,w,t,p,r,v,g,1
f,y,c,f,n,f,w,n,w,e,b,s,f,w,n,p,w,o,e,w,v,l,0
f,s,g,t,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,v,u,1
x,s,g,t,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,v,g,1
k,y,p,t,n,f,c,b,w,e,b,s,s,w,e,p,w,t,e,w,c,w,0
x,y,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,d,1
b,y,w,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,g,1
k,y,b,t,n,f,c,b,w,e,b,s,s,w,e,p,w,t,e,w,c,w,0
f,y,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,d,1
f,y,g,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,g,1
k,y,p,t,n,f,c,b,w,e,b,s,s,e,w,p,w,t,e,w,c,w,0
f,y,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,p,1
x,y,r,f,n,f,c,n,h,e,b,s,f,w,w,p,w,o,f,h,v,d,0
x,y,y,f,n,f,c,n,w,e,b,k,y,w,n,p,w,o,e,w,v,d,1
f,s,n,t,n,f,c,b,e,e,b,s,s,e,e,p,w,t,e,w,c,w,0
k,s,p,t,n,f,c,b,w,e,b,s,s,w,e,p,w,t,e,w,c,w,0
x,s,w,t,f,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,s,g,1
x,s,w,t,f,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,s,u,1
x,s,b,t,f,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,s,g,1
f,s,b,t,f,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,s,u,1
f,y,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,p,1
f,s,e,t,n,f,c,b,w,e,b,s,s,e,w,p,w,t,e,w,c,w,0
x,s,n,t,n,f,c,b,e,e,b,s,s,e,e,p,w,t,e,w,c,w,0
f,s,b,t,f,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,s,u,1
f,s,w,t,f,f,c,b,w,t,b,s,s,w,w,p,w,o,p,h,s,g,1
x,f,c,f,n,f,w,n,w,e,b,f,s,w,n,p,w,o,e,w,v,l,0
f,y,y,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,p,1
f,s,b,t,f,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,s,u,1
f,s,w,t,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,s,u,1
f,s,b,t,f,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,g,1
x,y,n,f,s,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,d,1
f,y,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,p,1
x,s,w,t,f,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,s,g,1
x,y,n,f,y,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,p,1
x,y,n,f,s,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,d,1
f,y,r,f,n,f,c,n,h,e,b,s,f,w,w,p,w,o,f,h,v,d,0
x,y,b,t,n,f,c,b,e,e,b,s,s,w,w,p,w,t,e,w,c,w,0
f,s,w,t,f,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,v,u,1
f,y,p,t,n,f,c,b,e,e,b,s,s,w,e,p,w,t,e,w,c,w,0
x,y,n,f,f,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,p,1
x,y,n,t,n,f,c,b,e,e,b,s,s,w,w,p,w,t,e,w,c,w,0
f,s,p,t,n,f,c,b,w,e,b,s,s,e,w,p,w,t,e,w,c,w,0
f,y,y,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,d,1
x,y,r,f,n,f,c,n,h,e,b,s,f,w,w,p,w,o,f,h,y,d,0
f,y,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,g,1
f,f,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,d,1
x,y,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,g,1
x,y,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,d,1
x,y,e,f,y,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,d,1
f,y,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,g,1
x,y,n,f,s,f,c,n,b,t,b,s,s,p,p,p,w,o,e,w,v,d,1
f,s,b,t,f,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,s,g,1
k,s,b,t,n,f,c,b,e,e,b,s,s,e,e,p,w,t,e,w,c,w,0
f,y,w,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,g,1
f,y,b,t,n,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,m,1
f,y,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,p,1
x,s,b,t,f,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,s,u,1
f,y,r,f,n,f,c,n,u,e,b,s,f,w,w,p,w,o,f,h,y,d,0
x,y,w,f,n,f,c,n,u,e,b,s,f,w,w,p,w,o,f,h,v,d,0
b,s,p,t,n,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,g,1
x,y,n,f,f,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,d,1
x,s,g,t,f,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,s,g,1
x,y,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,d,1
x,y,n,f,f,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,l,1
x,s,g,t,f,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,v,g,1
f,y,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,d,1
x,s,e,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,e,w,c,w,0
f,y,y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,p,1
f,y,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,p,1
x,y,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,g,1
f,y,b,t,n,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,g,1
k,s,e,t,n,f,c,b,e,e,b,s,s,w,w,p,w,t,e,w,c,w,0
x,f,n,f,n,f,w,n,w,e,b,f,f,w,n,p,w,o,e,w,v,l,0
x,y,n,f,f,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,d,1
x,y,w,f,n,f,c,n,p,e,b,s,f,w,w,p,w,o,f,h,y,d,0
f,y,n,f,f,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,p,1
f,y,e,f,y,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,p,1
k,s,n,f,y,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,p,1
x,y,e,f,f,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,l,1
f,y,e,f,s,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,p,1
f,y,n,f,y,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,p,1
k,y,n,f,y,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,l,1
x,s,e,f,f,f,c,n,b,t,b,s,s,p,p,p,w,o,e,w,v,l,1
k,s,e,f,s,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,p,1
f,s,n,f,y,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,d,1
x,s,e,f,s,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,d,1
x,s,n,f,y,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,l,1
f,y,e,f,y,f,c,n,b,t,b,s,s,p,w,p,w,o,e,w,v,d,1
x,y,e,f,s,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,p,1
f,y,e,f,s,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,p,1
f,y,e,f,f,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,p,1
f,s,e,f,s,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,p,1
f,s,e,f,f,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,l,1
x,y,e,f,f,f,c,n,b,t,b,s,s,p,p,p,w,o,e,w,v,d,1
f,y,e,f,s,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,d,1
x,y,e,f,f,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,l,1
f,s,e,f,y,f,c,n,b,t,b,s,s,p,w,p,w,o,e,w,v,d,1
f,y,e,f,f,f,c,n,b,t,b,s,k,p,w,p,w,o,e,w,v,l,1
f,y,n,f,s,f,c,n,b,t,b,k,s,p,w,p,w,o,e,w,v,p,1
f,s,n,f,y,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,p,1
f,s,n,f,f,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,d,1
x,y,e,f,f,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,d,1
f,s,n,f,y,f,c,n,b,t,b,s,k,p,w,p,w,o,e,w,v,l,1
f,s,n,f,s,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,p,1
f,y,n,f,y,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,d,1
x,s,n,f,n,a,c,b,n,e,b,s,s,o,o,p,n,o,p,y,c,l,0
f,y,n,f,f,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,d,1
f,y,n,f,s,f,c,n,b,t,b,k,k,p,p,p,w,o,e,w,v,p,1
f,s,e,f,y,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,p,1
x,s,e,f,s,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,l,1
x,s,n,f,s,f,c,n,b,t,b,k,k,p,p,p,w,o,e,w,v,p,1
f,s,e,f,y,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,p,1
x,s,e,f,f,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,p,1
f,y,n,f,y,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,d,1
f,s,e,f,f,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,d,1
x,s,e,f,s,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,d,1
x,s,n,f,s,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,p,1
k,f,w,f,n,f,w,b,p,e,b,s,k,w,w,p,w,t,p,w,n,g,0
x,s,n,f,y,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,d,1
x,y,e,f,y,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,l,1
x,s,n,f,y,f,c,n,b,t,b,s,s,p,w,p,w,o,e,w,v,l,1
f,s,n,f,y,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,l,1
x,s,n,f,f,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,d,1
x,s,e,f,y,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,l,1
f,y,n,f,s,f,c,n,b,t,b,s,s,p,w,p,w,o,e,w,v,d,1
x,s,e,f,f,f,c,n,b,t,b,k,s,p,w,p,w,o,e,w,v,d,1
x,s,n,f,y,f,c,n,b,t,b,s,k,p,w,p,w,o,e,w,v,d,1
k,y,n,f,y,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,p,1
x,s,n,f,y,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,l,1
x,s,e,f,s,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,l,1
f,y,n,f,s,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,p,1
x,s,e,f,s,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,d,1
f,y,n,f,f,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,d,1
f,s,e,f,f,f,c,n,b,t,b,s,k,p,w,p,w,o,e,w,v,p,1
f,y,e,f,y,f,c,n,b,t,b,k,k,p,p,p,w,o,e,w,v,d,1
k,y,n,f,y,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,l,1
f,s,e,f,y,f,c,n,b,t,b,k,s,p,p,p,w,o,e,w,v,d,1
f,s,n,f,f,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,l,1
x,s,e,f,f,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,l,1
f,y,n,f,s,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,d,1
f,y,e,f,y,f,c,n,b,t,b,s,s,p,p,p,w,o,e,w,v,p,1
f,s,e,f,f,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,d,1
